id,field_id,image_from,created_at,last_modified,layer_name,bbox,cloud_coverage
b9c564c2-456f-4e3a-82af-0808bec83e55,076d8f7b-6dfb-4345-8e8d-86f7cd9ea77c,2021-05-12,2021-05-16 01:32:30.963254,2021-05-16 01:32:30.963254,NDVI,"[7.336277776568039, 53.390476300938104, 7.34339572203362, 53.390476300938104, 7.34339572203362, 53.38663268535808, 7.336277776568039, 53.38663268535808]",0.0000
7cce3bf2-1a65-44a3-a164-f4570a17fa8e,de9382bb-4c80-4806-a252-87e870bda106,2020-04-09,2020-06-11 18:48:52.441593,2021-03-24 04:52:00.977502,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
ea250a6e-cbd9-4a7d-827a-c936994b15bc,3c5b949e-4f2c-4326-8137-a1e9d820e3a5,2019-07-09,2019-07-14 00:09:48.920000,2021-03-24 04:52:01.009028,NDWI,"[9.881017371986871, 49.579089692412396, 9.884214257899913, 49.58009674694608]",0.9500
0967600e-744e-46fd-8891-ce7fedf26839,3c5b949e-4f2c-4326-8137-a1e9d820e3a5,2019-07-14,2019-07-19 02:17:15.422000,2021-03-24 04:52:01.045441,NDWI,"[9.881017371986871, 49.579089692412396, 9.884214257899913, 49.58009674694608]",0.5978
c9ce8afc-3d6a-4c45-ba0f-5c23d87e8d31,de9382bb-4c80-4806-a252-87e870bda106,2020-04-11,2020-06-11 18:49:00.042684,2021-03-24 04:52:01.096163,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
83b68f25-7d51-43e9-99f7-fb387103a00a,21d6ae1f-0edb-4d6f-b2bf-d8660ca6c65b,2019-08-17,2019-08-20 00:09:43.778000,2021-03-24 04:52:01.128572,TRUECOLOR,"[12.481929391310985, 48.93843233615033, 12.486675397340804, 48.93943914739492]",0.9812
402d68dc-c90e-4843-8182-b79a74c4ebce,21d6ae1f-0edb-4d6f-b2bf-d8660ca6c65b,2019-04-14,2019-06-22 04:39:10.129000,2021-03-24 04:52:01.179914,NDVI,"[12.481929391310985, 48.93843233615033, 12.486675397340804, 48.93943914739492]",0.0000
5fd645ba-5246-41b3-a9be-9d3f997ff24b,de9382bb-4c80-4806-a252-87e870bda106,2020-04-14,2020-06-11 18:48:13.399045,2021-03-24 04:52:01.250201,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
04aa529e-1bdb-4ee6-bcfb-c494d9473629,de9382bb-4c80-4806-a252-87e870bda106,2020-04-16,2020-06-11 18:47:45.303825,2021-03-24 04:52:01.340521,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
a45fc808-12cc-4100-a2ff-968c0c836eb6,3c1f1ecc-1167-4341-9f40-31ebf62b860a,2019-11-06,2020-05-31 12:42:44.041447,2021-03-24 04:52:01.403902,NDVI,"[8.640701037576207, 52.082876689499926, 8.6431835052135, 52.08570742745613]",0.9449
c6423822-2483-4ea5-aa97-cbba971b6082,de9382bb-4c80-4806-a252-87e870bda106,2020-04-19,2020-06-11 18:47:58.239072,2021-03-24 04:52:01.447939,NDWI,"[34.70550667146509, 51.13526160762747, 34.75484860258241, 51.144655062791465]",1.0000
d8b3e464-d138-4b67-bc5f-378c8ccb9af3,24c6a675-42e4-4c45-bbe3-22424cd85931,2020-01-23,2020-04-20 20:16:53.614332,2021-03-24 04:52:01.499831,NDVI,"[5.83646957, 50.92232852, 5.83862992, 50.92490924]",0.0000
